,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_SMA(C,10)","Exit_SMA(C,10)","Entry_SMA(C,20)","Exit_SMA(C,20)"
42,-52,1015,1059,469.75,356.16,,,5906.6799999999985,0.24180947312400203,2008-08-29,2008-10-31,63 days,,481.37399999999997,356.46400000000006,486.809,354.4705
43,85,1059,1061,356.16,353.44,,,-231.20000000000232,-0.007637017070979413,2008-10-31,2008-11-04,4 days,,356.46400000000006,353.6,354.4705,354.281
44,-85,1061,1087,353.44,304.17,,,4187.949999999999,0.1394013128112267,2008-11-04,2008-12-11,37 days,,353.6,288.894,354.281,287.1165
45,112,1087,1103,304.17,332.98,,,3226.7200000000003,0.09471677022717562,2008-12-11,2009-01-06,26 days,,288.894,309.005,287.1165,309.7285
46,-112,1103,1105,332.98,318.28,,,1646.400000000005,0.04414679560333967,2009-01-06,2009-01-08,2 days,,309.005,314.212,309.7285,311.6845
47,121,1105,1114,318.28,298.04,,,-2449.039999999994,-0.06359180595701885,2009-01-08,2009-01-22,14 days,,314.212,305.923,311.6845,308.709
48,-121,1114,1121,298.04,334.29,,,-4386.25,-0.12162796940008058,2009-01-22,2009-02-02,11 days,,305.923,324.347,308.709,319.7245
49,94,1121,1138,334.29,345.96,,,1096.9799999999962,0.034909808848604396,2009-02-02,2009-02-26,24 days,,324.347,345.992,319.7245,349.30550000000005
50,-94,1138,1156,345.96,346.5,,,-50.760000000001924,-0.0015608740894901274,2009-02-26,2009-03-24,26 days,,345.992,330.986,349.30550000000005,325.575
51,93,1156,1199,346.5,391.95,,,4226.8499999999985,0.13116883116883105,2009-03-24,2009-05-26,63 days,,330.986,395.331,325.575,396.92549999999994
52,-93,1199,1203,391.95,418.73,,,-2490.5400000000027,-0.0683250414593699,2009-05-26,2009-06-01,6 days,,395.331,404.70099999999996,396.92549999999994,401.671
53,80,1203,1219,418.73,406.65,,,-966.4000000000033,-0.028849139063358398,2009-06-01,2009-06-23,22 days,,404.70099999999996,418.15500000000003,401.671,423.017
54,-80,1219,1236,406.65,433.0,,,-2108.000000000002,-0.06479773761219731,2009-06-23,2009-07-17,24 days,,418.15500000000003,419.35300000000007,423.017,417.512
55,70,1236,1317,433.0,562.73,,,9081.100000000002,0.299607390300231,2009-07-17,2009-11-10,116 days,,419.35300000000007,546.8100000000001,417.512,547.4185
56,-70,1317,1319,562.73,569.56,,,-478.0999999999949,-0.012137259431698855,2009-11-10,2009-11-12,2 days,,546.8100000000001,551.516,547.4185,551.0775
57,68,1319,1362,569.56,593.34,,,1617.0400000000059,0.041751527494908514,2009-11-12,2010-01-15,64 days,,551.516,600.365,551.0775,605.4475
58,-67,1362,1387,593.34,543.0,,,3372.780000000002,0.08484174335119832,2010-01-15,2010-02-23,39 days,,600.365,538.177,605.4475,536.351
59,80,1387,1412,543.0,562.83,,,1586.4000000000033,0.036519337016574616,2010-02-23,2010-03-30,35 days,,538.177,561.052,536.351,563.141
60,-79,1412,1419,562.83,567.49,,,-368.1399999999975,-0.008279587086686968,2010-03-30,2010-04-09,10 days,,561.052,566.425,563.141,564.542
61,78,1419,1430,567.49,544.97,,,-1756.5599999999986,-0.03968351865231101,2010-04-09,2010-04-26,17 days,,566.425,560.435,564.542,563.932
62,-77,1430,1464,544.97,494.48,,,3887.7300000000005,0.0926473016863314,2010-04-26,2010-06-14,49 days,,560.435,488.308,563.932,486.83500000000004
63,93,1464,1475,494.48,463.44,,,-2886.720000000002,-0.06277301407539237,2010-06-14,2010-06-29,15 days,,488.308,483.236,486.83500000000004,486.55300000000005
64,-93,1475,1489,463.44,461.03,,,224.13000000000233,0.00520024167098232,2010-06-29,2010-07-20,21 days,,483.236,473.20200000000006,486.55300000000005,466.575
65,93,1489,1512,461.03,467.97,,,645.4200000000051,0.015053250330781198,2010-07-20,2010-08-20,31 days,,473.20200000000006,486.741,466.575,489.904
66,-93,1512,1529,467.97,479.95,,,-1114.1399999999965,-0.0255999316195481,2010-08-20,2010-09-15,26 days,,486.741,472.445,489.904,465.95950000000005
67,88,1529,1574,479.95,585.0,,,9244.400000000001,0.21887696635066156,2010-09-15,2010-11-17,63 days,,472.445,610.704,465.95950000000005,613.3095000000001
68,-87,1574,1594,585.0,592.85,,,-682.950000000002,-0.013418803418803416,2010-11-17,2010-12-16,29 days,,610.704,588.429,613.3095000000001,585.2435
69,85,1594,1626,592.85,611.0,,,1542.7499999999982,0.03061482668465887,2010-12-16,2011-02-02,48 days,,588.429,612.7270000000001,585.2435,616.281
70,-84,1626,1636,611.0,625.63,,,-1228.9199999999996,-0.023944353518821515,2011-02-02,2011-02-16,14 days,,612.7270000000001,618.7760000000001,616.281,615.7515
71,80,1636,1645,625.63,599.8,,,-2066.4000000000033,-0.041286383325607856,2011-02-16,2011-03-02,14 days,,618.7760000000001,613.49,615.7515,615.522
72,-80,1645,1668,599.8,593.0,,,543.9999999999964,0.011337112370790159,2011-03-02,2011-04-04,33 days,,613.49,583.1279999999999,615.522,578.397
73,81,1668,1677,593.0,545.29,,,-3864.510000000003,-0.08045531197301858,2011-04-04,2011-04-15,11 days,,583.1279999999999,572.258,578.397,577.134
74,-81,1677,1696,545.29,534.61,,,865.079999999996,0.01958590841570529,2011-04-15,2011-05-13,28 days,,572.258,535.8199999999999,577.134,533.29
75,84,1696,1700,534.61,532.73,,,-157.91999999999962,-0.0035165821814032716,2011-05-13,2011-05-19,6 days,,535.8199999999999,532.5629999999999,533.29,533.5469999999999
76,-84,1700,1734,532.73,532.95,,,-18.480000000002292,-0.00041296716911021214,2011-05-19,2011-07-08,50 days,,532.5629999999999,512.27,533.5469999999999,503.92300000000006
77,83,1734,1757,532.95,561.38,,,2359.689999999996,0.05334459142508674,2011-07-08,2011-08-10,33 days,,512.27,583.997,503.92300000000006,591.6655000000001
78,-83,1757,1778,561.38,531.4,,,2488.3400000000015,0.053404111297160606,2011-08-10,2011-09-09,30 days,,583.997,532.096,591.6655000000001,528.5115
79,92,1778,1794,531.4,509.85,,,-1982.5999999999958,-0.04055325555137368,2011-09-09,2011-10-03,24 days,,532.096,527.013,528.5115,530.6885
80,-92,1794,1805,509.85,580.19,,,-6471.2800000000025,-0.137962145729136,2011-10-03,2011-10-18,15 days,,527.013,548.697,530.6885,535.6185
81,69,1805,1833,580.19,579.37,,,-56.58000000000345,-0.0014133301159965361,2011-10-18,2011-11-28,41 days,,548.697,591.902,535.6185,594.691
82,-69,1833,1841,579.37,621.04,,,-2875.2299999999973,-0.07192295079137678,2011-11-28,2011-12-08,10 days,,591.902,605.65,594.691,601.3879999999999
