,Equity,DrawdownPct,DrawdownDuration
2009-05-05,37715.39496000003,0.04842421737574254,
2009-05-06,37760.034960000026,0.04729793080280864,
2009-05-07,37122.05496000002,0.0633944430743224,
2009-05-08,38119.01496000002,0.038240709612131996,
2009-05-11,38179.46496000003,0.03671552987795057,
2009-05-12,37345.25496000002,0.05776301020965291,
2009-05-13,36464.54496000003,0.07998370572149449,
2009-05-14,36274.82496000003,0.08477042365646359,
2009-05-15,36507.32496000003,0.07890434775576616,
2009-05-18,37143.44496000002,0.06285476409145818,
2009-05-19,37333.164960000024,0.058068046156489084,
2009-05-20,37175.064960000025,0.06205697776896335,
2009-05-21,37111.82496000003,0.06365255041395301,
2009-05-22,36832.82496000003,0.0706918414947898,
2009-05-26,35388.739560000016,0.10712674284312962,
2009-05-27,35277.13956000002,0.10994245927546431,
2009-05-28,34827.01956000002,0.12129918221921443,
2009-05-29,34191.82956000002,0.13732530157991973,
2009-06-01,34533.84898000002,0.12869600318322083,
2009-06-02,34681.048980000014,0.12498208330114502,
2009-06-03,34941.048980000014,0.11842217046595649,
2009-06-04,35631.448980000016,0.10100307884513293,
2009-06-05,35954.64898000001,0.09284860258231409,
2009-06-08,35510.64898000001,0.10405091527009747,
2009-06-09,35258.64898000001,0.11040898463343407,
2009-06-10,35017.048980000014,0.11650465748336303,
2009-06-11,34729.048980000014,0.12377102247003324,
2009-06-12,34396.24898000001,0.13216771089907464,
2009-06-15,33750.64898000001,0.14845647907752724,
2009-06-16,33689.048980000014,0.15001067381078714,
2009-06-17,33621.84898000002,0.15170615897434347,
2009-06-18,33533.84898000002,0.153926437164715,
2009-06-19,34016.24898000001,0.1417552758120424,
2009-06-22,32997.048980000014,0.1674701341259811,
2009-06-23,32888.520980000016,0.17020834266512475,
2009-06-24,32599.720980000013,0.17749489199898028,
2009-06-25,32081.32098000002,0.1905743489749867,
2009-06-26,31317.320980000015,0.20985040053684834,
2009-06-29,31411.720980000016,0.2074686475689952,
2009-06-30,31615.720980000016,0.20232163903677036,
2009-07-01,31823.720980000013,0.19707370876861974,
2009-07-02,32663.720980000013,0.17588014422416465,
2009-07-06,32574.120980000014,0.17814079110890646,
2009-07-07,33612.520980000016,0.15194150846252297,
2009-07-08,33143.72098000001,0.16376953591304744,
2009-07-09,32511.720980000016,0.17971517018935168,
2009-07-10,32190.920980000017,0.1878090934106149,
2009-07-13,31398.920980000014,0.20779159712395845,
2009-07-14,31367.720980000016,0.20857878666418095,
2009-07-15,30289.320980000015,0.2357872866698243,
2009-07-16,29934.920980000014,0.24472895247286586,
2009-07-17,30380.520980000016,0.23348627109071196,
2009-07-20,30374.920980000017,0.23362756152100828,
2009-07-21,30216.020980000016,0.23763667748066775,
2009-07-22,30201.320980000015,0.2380075648601958,
2009-07-23,30876.820980000015,0.2209644067056965,
2009-07-24,31533.420980000017,0.20439810375344736,
2009-07-27,31399.020980000016,0.20778907408056024,
2009-07-28,31052.520980000016,0.21653141945514798,
2009-07-29,30799.820980000015,0.22290715012227147,
2009-07-30,31457.820980000015,0.20630552456244833,
2009-07-31,31276.520980000016,0.21087980224329328,
2009-08-03,31917.720980000013,0.1947020479743593,
2009-08-04,32024.120980000018,0.19201752979872821,
2009-08-05,31842.820980000015,0.19659180747957317,
2009-08-06,31788.220980000016,0.19796938917496265,
2009-08-07,32260.020980000016,0.18606567042249378,
2009-08-10,32225.720980000016,0.186931074308059,
2009-08-11,32038.820980000015,0.19164664241920026,
2009-08-12,32363.620980000014,0.183451797462011,
2009-08-13,32622.620980000014,0.176917115060804,
2009-08-14,32463.020980000016,0.18094389232425045,
2009-08-17,31405.320980000015,0.20763012234647682,
2009-08-18,31432.620980000014,0.20694133149878202,
2009-08-19,31340.920980000017,0.20925496229488494,
2009-08-20,32491.720980000016,0.18021977886898155,
2009-08-21,32829.82098000002,0.17168936913983834,
2009-08-24,33074.120980000014,0.16552557411815938,
2009-08-25,33258.92098000002,0.16086298991837922,
2009-08-26,33023.020980000016,0.16681484929461377,
2009-08-27,32887.22098000001,0.17024114222930076,
2009-08-28,32795.520980000016,0.17255477302540367,
2009-08-31,32579.920980000017,0.17799445459181373,
2009-09-01,32166.220980000016,0.1884322851299579,
2009-09-02,31973.720980000016,0.1932891436713955,
2009-09-03,32289.420980000014,0.18532389566343788,
2009-09-04,32554.020980000016,0.17864792283193454,
2009-09-08,32366.420980000017,0.1833811522468628,
2009-09-09,32740.920980000017,0.17393235472079316,
2009-09-10,33228.82098000002,0.16162242598122212,
2009-09-11,33312.82098000002,0.15950306952677662,
2009-09-14,33521.42098000002,0.15424000099823698,
2009-09-15,33690.82098000002,0.14996596548177188,
2009-09-16,34443.32098000002,0.1309800639106975,
2009-09-17,34683.42098000002,0.12492223671174085,
2009-09-18,34665.22098000001,0.12538143061020413,
2009-09-21,35053.020980000016,0.11559706831218064,
2009-09-22,35197.22098000001,0.11195883973204923,
2009-09-23,35155.22098000001,0.11301851795927198,
2009-09-24,35036.92098000002,0.1160032782992827,
2009-09-25,34736.620980000014,0.12357997762392536,
2009-09-28,35160.120980000014,0.11289488883276266,
2009-09-29,35160.120980000014,0.11289488883276266,
2009-09-30,34972.520980000016,0.11762811824769093,
2009-10-01,34367.020980000016,0.13290514602348558,
2009-10-02,34183.620980000014,0.13753240761569163,
2009-10-05,34459.42098000002,0.13057385392359555,
2009-10-06,35174.82098000002,0.1125240014532346,
2009-10-07,36490.82098000001,0.07932075033358843,
2009-10-08,36255.620980000014,0.08525494840603587,
2009-10-09,36400.520980000016,0.08159905852211724,
2009-10-12,36945.82098000001,0.06784090287200861,
2009-10-13,37090.72098000001,0.0641850129880901,
2009-10-14,37735.42098000002,0.04791895220022069,
2009-10-15,37356.72098000001,0.05747371754901265,
2009-10-16,38752.520980000016,0.022257077797643077,
2009-10-19,38909.32098000002,0.01830094574934471,
2009-10-20,38883.42098000002,0.018954413989465402,
2009-10-21,38840.020980000016,0.020049414824262368,
2009-10-22,39049.32098000002,0.01476868499193551,
2009-10-23,39021.32098000002,0.015475137143417417,
2009-10-26,39057.72098000002,0.014556749346490983,
2009-10-27,38643.32098000001,0.02501224118842238,
2009-10-28,38084.020980000016,0.03912362291427185,
2009-10-29,38836.520980000016,0.02013772134319758,
2009-10-30,37791.42098000002,0.0465060478972571,
2009-11-02,37642.32098000002,0.05026790560389782,
2009-11-03,37873.32098000001,0.044439675354172814,
2009-11-04,38086.12098000002,0.039070639002910634,
2009-11-05,38668.520980000016,0.024376434252088575,
2009-11-06,38840.020980000016,0.020049414824262368,
2009-11-09,39638.72098000001,0.0,305 days
2009-11-10,39214.45658000002,0.010703281778795537,
2009-11-11,38948.45658000003,0.01741389184449882,
2009-11-12,38744.97802000003,0.022547219938073293,
